name,country,sport,substance,link,birthday
Eugeni Berzin,Russia,Cycling,"['Blood', 'doping']",/wiki/Eugeni_Berzin,1970-06-03
Rafael Betancourt,Venezuela,Baseball,"['Anabolic', 'steroids']",/wiki/Rafael_Betancourt,1975-04-29
Christina Bethani,Greece,Swimming,['Acetazolamide'],Page does not exist.,N/A
Muhammad Bhatti,Pakistan,Weightlifting,['Metandienone'],Page does not exist.,N/A
Ildara Bilyaletdinov,Russia,Wrestling,[],Page does not exist.,N/A
Yusoff Binti,Morocco,Weightlifting,['Drostnolone'],Page does not exist.,N/A
Rod Bitz,Canada,Wheelchair rugby,['Methylhexaneamine'],Page does not exist.,N/A
Pierre Blanchard,France,Water polo,"['Prednisone,', 'Prednisolone']",/wiki/Pierre_Blanchard,1945-01-14
Yohan Blanchet,France,Water polo,['Cannabis'],Page does not exist.,N/A
Alberto Blanco,Cuba,Weightlifting,"['Anabolic', 'steroids']",/wiki/Alberto_Blanco_(weightlifter),1950-02-17
Manuele Blasi,Italy,Football (soccer),['Nandrolone'],/wiki/Manuele_Blasi,1980-08-17
Aikaterini Bliamou,Greece,Swimming,['Nandrolone'],/wiki/Aikaterini_Bliamou,1982-10-15
Nickolay Bocharov,Russia,Swimming,['Nandrolone'],Page does not exist.,N/A
Mickael Bodegas,France,Water polo,['Cannabis'],Page does not exist.,N/A
Alexander Bodyakin,Russia,Swimming,['Furosemide'],Page does not exist.,N/A
Plamen Boev,Bulgaria,Weightlifting,['Norandrosterone'],Page does not exist.,N/A
Galabin Boevski,Bulgaria,Weightlifting,"['Tampering', 'with', 'test']",/wiki/Galabin_Boevski,1974-12-19
Alex Bogomolov Jr.,United States,Tennis,['Salbutamol'],/wiki/Alex_Bogomolov_Jr.,1983-04-23
Udo Bölts,Germany,Cycling,"['Erythropoietin', '(EPO)', '(self-admitted)']",/wiki/Udo_B%C3%B6lts,1966-08-10
Barry Bonds,United States,Baseball,"['Amphetamines', '(first', 'offender;', 'not', 'suspended', 'per', 'Major', 'League', 'Baseball', 'collective', 'bargaining', 'agreement)']",/wiki/Barry_Bonds,1964-07-24
Stephan Bonnar,United States,Mixed martial arts,['Boldenone'],/wiki/Stephan_Bonnar,1977-04-04
Michael Boogerd,Netherlands,Cycling,"['Blood', 'doping,', 'cortisone,', 'EPO,']",/wiki/Michael_Boogerd,1972-05-28
Tom Boonen,Belgium,Cycling,['Cocaine'],/wiki/Tom_Boonen,1980-10-15
Liliana Borbon,Mexico,Weightlifting,[],Page does not exist.,N/A
Marco Borriello,Italy,Football (soccer),['Prednisolone'],/wiki/Marco_Borriello,1982-06-18
Mark Bosnich,Australia,Football (soccer),['Cocaine'],/wiki/Mark_Bosnich,1972-01-13
David Boston,United States,American football,"['Gamma-Hydroxybutyric', 'acid']",/wiki/David_Boston,1978-08-19
Ian Botham,United Kingdom,Cricket,['Cannabis'],/wiki/Ian_Botham,1955-11-24
Igor Bour,Moldova,Weightlifting,['Metandienone'],/wiki/Igor_Bour,1984-12-18
Djamel Bouras,France,Judo,['Nandrolone'],/wiki/Djamel_Bouras,1971-08-21
Frederick Bousquet,France,Swimming,['Heptaminol'],/wiki/Frederick_Bousquet,1981-04-08
Lee Bowyer,England,Football (soccer),['Cannabis'],/wiki/Lee_Bowyer,1977-01-03
Plezhanov Boyan,Belarus,Weightlifting,['Metandienone'],Page does not exist.,N/A
Dmitry Boyko,Russia,Snowboarding,[],Page does not exist.,N/A
Tosan Boyo,Nigeria,Swimming,['Dexamethasone'],Page does not exist.,N/A
Doug Bracewell,New Zealand,Cricket,['Cocaine'],/wiki/Doug_Bracewell,1990-09-28
Andrew James Brack,Greece,Baseball,['Stanozolol'],Page does not exist.,N/A
Shqiponje Brahja,Albania,Weightlifting,"['T/E', '65']",Page does not exist.,N/A
Ryan Braun,United States,Baseball,"['Human', 'growth', 'hormone.', 'See', 'also', 'Biogenesis', 'baseball', 'scandal.']",/wiki/Ryan_Braun,1983-11-17
Anyelo Brea,Dominican Republic,Wrestling,['Furosemide'],Page does not exist.,N/A
Andrew Bree,Ireland,Swimming,['Levmethamphetamine'],/wiki/Andrew_Bree,1981-03-16
Mladen Brestovac,Croatia,Kickboxing,['Meldonium'],/wiki/Mladen_Brestovac,1983-10-27
Matt Bricker,United States,Swimming,['Ephedrine'],Page does not exist.,N/A
Terry Bridge,United Kingdom,Rugby league,['Steroids'],Page does not exist.,N/A
David Britz,South Africa,Rugby union,['Boldenone'],Page does not exist.,N/A
Laurent Brochard,France,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Laurent_Brochard,1968-03-26
Daniel Broussard,Canada,Ice hockey,['Methylhexaneamine'],Page does not exist.,N/A
Ian Brown,United Kingdom,Rugby,['Testosterone'],Page does not exist.,N/A
Justin Brownlee,Philippines,Basketball,"['11-Nor-9-carboxy-THC', '(prescription', 'drug)']",/wiki/Justin_Brownlee,1988-04-23
Emily Brunneman,United States,Swimming,"['Hydrochlorothiazide,', 'Triamterene']",Page does not exist.,N/A
Rebekkah Brunson,United States,Basketball,"['Salmeterol', '(only', 'given', 'public', 'warning)']",/wiki/Rebekkah_Brunson,1981-12-11
Nicola Brustia,Italy,Water polo,['Cannabis'],Page does not exist.,N/A
Dave Bruylandts,Belgium,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Dave_Bruylandts,1976-07-12
Christian Bucchi,Italy,Football (soccer),['Nandrolone'],/wiki/Christian_Bucchi,1977-05-30
Katharina Bullin,East Germany,Volleyball,[],/wiki/Katharina_Bullin,1959-03-02
Jonathan Bullough,United Kingdom,Weightlifting,['Methylhexaneamine'],Page does not exist.,N/A
Renata Burgos,Brazil,Swimming,['Stanozolol'],/wiki/Renata_Burgos,1982-01-03
Rachael Burke,United States,Swimming,['Boldione'],Page does not exist.,N/A
Ian Burnham,United Kingdom,Water polo,['Cocaine'],Page does not exist.,N/A
Jack Burnham,England,Cricket,['Cocaine'],/wiki/Jack_Burnham_(cricketer),1997-01-18
Andrew Burns,Australia,Swimming,['Ecstasy'],Page does not exist.,N/A
Alexey Bushin,Russia,Swimming,['Sustanol'],Page does not exist.,N/A
Asim Butt,Scotland,Cricket,['Ecstasy'],/wiki/Asim_Butt_(cricketer),1967-10-24
David Bystroň,Czech Republic,Football (soccer),['Methamphetamine'],/wiki/David_Bystro%C5%88,1982-11-18
Agnieska Bystrzycka,Poland,Swimming,['Nikethamide'],Page does not exist.,N/A
Javier Cabanas,Spain,Swimming,['Epehedrine'],/wiki/Javier_Cabanas,1960-04-24
Enos Cabell,United States,Baseball,['Cocaine'],/wiki/Enos_Cabell,1949-10-08
Danny Cadamarteri,England,Football (soccer),['Ephedrine'],/wiki/Danny_Cadamarteri,1979-10-12
Cai Huijue,China,Swimming,['Triamterene'],/wiki/Cai_Huijue,N/A
Valeriu Calancea,Romania,Weightlifting,['Methandienone'],/wiki/Valeriu_Calancea,N/A
Michael Callens,Belgium,Swimming,['Cannabis'],Page does not exist.,N/A
Filippo Calorosi,Italy,Tennis,[],Page does not exist.,N/A
Robinson Canó,Dominican Republic,Baseball,['Furosemide'],/wiki/Robinson_Can%C3%B3,1982-10-22
Brad Cardinal,Canada,Wrestling,['THC'],Page does not exist.,N/A
Jerome Cazenave,France,Water polo,['Cannabis'],Page does not exist.,N/A
Oscar Camenzind,Switzerland,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Oscar_Camenzind,1971-09-12
Mike Cameron,United States,Baseball,['Stimulants'],/wiki/Mike_Cameron,1973-01-08
Ken Caminiti,United States,Baseball,"['Anabolic', 'steroids', '(never', 'sanctioned;', 'admitted', 'to', 'use', 'after', 'the', 'end', 'of', 'his', 'career)']",/wiki/Ken_Caminiti,1963-04-21
Miguel Cammacho,Venezuela,Weightlifting,['Metandienone'],Page does not exist.,N/A
Neil Campbell,England,Cycling,['HCG'],Page does not exist.,N/A
Guillermo Cañas,Argentina,Tennis,['Hydrochlorothiazide'],/wiki/Guillermo_Ca%C3%B1as,1977-11-25
José Canseco,United States,Baseball,"['Anabolic', 'steroids', '(never', 'sanctioned;', 'admitted', 'to', 'use', 'after', 'the', 'end', 'of', 'his', 'career)']",/wiki/Jos%C3%A9_Canseco,1964-07-02
Ludovic Capelle,Belgium,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Ludovic_Capelle,1976-02-27
Dean Capobianco,Australia,Athletics,['Stanozolol'],/wiki/Dean_Capobianco,N/A
Ivan Caprari,Italy,Water polo,['Cocaine'],Page does not exist.,N/A
Nuno Cardoso,Angola,Swimming,['Nandrolone'],Page does not exist.,N/A
Salvador Carmona,Mexico,Football (soccer),['Steroids'],/wiki/Salvador_Carmona,1975-08-22
Alicia Carratero,Spain,Diving,['Cannabis'],Page does not exist.,N/A
Danilo Carrega,Brazil,Swimming,['Stanozolol'],Page does not exist.,N/A
Anthony Carter,United Kingdom,Lawn tennis,['Cannabis'],Page does not exist.,N/A
Stefano Casagranda,Italy,Cycling,[],/wiki/Stefano_Casagranda,1973-03-23
Francesco Casagrande,Italy,Cycling,['Testosterone'],/wiki/Francesco_Casagrande,1970-09-14
Morales Castillo,Costa Rica,Cycling,['GW501516'],Page does not exist.,N/A
Enrico Catalano,Italy,Swimming,"['THC', 'metabolites']",Page does not exist.,N/A
Pietro Caucchioli,Italy,Cycling,[],/wiki/Pietro_Caucchioli,1975-08-22
Rupeni Caucaunibuca,Fiji,Rugby union,['Cannabis'],/wiki/Rupeni_Caucaunibuca,1980-06-05
Greg Cavanagh,Canada,Cycling,['Testosterone'],Page does not exist.,N/A
Deniss Čerkovskis,Latvia,Modern pentathlon,"['Anabolic', 'steroid']",/wiki/Deniss_%C4%8Cerkovskis,1978-11-02
Sergo Chakhoyan,Australia,Weightlifting,['Stanozolol'],/wiki/Sergo_Chakhoyan,N/A
Rajib Chakraborty,India,Swimming,"['Attempted', 'tampering', 'of', 'sample']",Page does not exist.,N/A
Paul Champalbert,France,Swimming,['Cannabis'],Page does not exist.,N/A
Sanamacha Chanu,India,Weightlifting,['Furosemide'],/wiki/Sanamacha_Chanu,1975-02-01
Maxime Chaply,France,Swimming,['Cannabis'],Page does not exist.,N/A
Justin Charles,Australia,Australian rules football,['Boldenone'],/wiki/Justin_Charles,1970-09-28
Mikalai Charniak,Belarus,Weightlifting,['Mesterolone'],Page does not exist.,N/A
